octal_div([train(6641)], [train(34757)], 11).
octal_div([train(42060)], [train(7211)], 2).
octal_div([train(29032)], [train(28191)], 7).
octal_div([train(41612)], [train(20852)], 0).
octal_div([train(38999)], [train(37649)], 3).
octal_div([train(28340)], [train(58230)], 5).
octal_div([train(35361)], [train(22662)], 1).
octal_div([train(17601)], [train(14576)], 1).
octal_div([train(41164)], [train(19658)], 1).
octal_div([train(4824)], [train(53238)], 1).
octal_div([train(34172)], [train(9046)], 0).
octal_div([train(22422)], [train(39337)], 1).
octal_div([train(35205)], [train(26392)], 1).
octal_div([train(11434)], [train(35362)], 1).
octal_div([train(42362)], [train(7029)], 0).
octal_div([train(24353)], [train(53620)], 1).
octal_div([train(12621)], [train(2619)], 2).
octal_div([train(59350)], [train(30368)], 3).
octal_div([train(48863)], [train(53288)], 0).
octal_div([train(19009)], [train(26411)], 0).
octal_div([train(20719)], [train(32825)], 0).
octal_div([train(43645)], [train(59724)], 1).
octal_div([train(11419)], [train(5500)], 4).
octal_div([train(42225)], [train(4278)], 3).
octal_div([train(29341)], [train(17403)], 0).
octal_div([train(50058)], [train(24264)], 2).
octal_div([train(15125)], [train(53287)], 1).
octal_div([train(29478)], [train(12993)], 0).
octal_div([train(6502)], [train(14541)], 0).
octal_div([train(9691)], [train(41648)], 0).
octal_div([train(48302)], [train(2791)], 3).
octal_div([train(16153)], [train(34922)], 1).
octal_div([train(57099)], [train(37882)], 7).
octal_div([train(24835)], [train(8888)], 1).
octal_div([train(57102)], [train(35386)], 4).
octal_div([train(32487)], [train(551)], 2).
octal_div([train(13502)], [train(15402)], 1).
octal_div([train(7892)], [train(16696)], 0).
octal_div([train(27424)], [train(47354)], 2).
octal_div([train(21113)], [train(49473)], 6).
octal_div([train(37980)], [train(45049)], 0).
octal_div([train(12450)], [train(53697)], 1).
octal_div([train(15486)], [train(14283)], 1).
octal_div([train(14669)], [train(14209)], 1).
octal_div([train(7072)], [train(50211)], 1).
octal_div([train(49171)], [train(22975)], 0).
octal_div([train(15834)], [train(6116)], 5).
octal_div([train(42730)], [train(15986)], 2).
octal_div([train(38300)], [train(309)], 7).
octal_div([train(28299)], [train(6043)], 3).
octal_div([train(8420)], [train(52359)], 6).
octal_div([train(55967)], [train(33563)], 0).
octal_div([train(28305)], [train(30021)], 0).
octal_div([train(58968)], [train(1256)], 1).
octal_div([train(23524)], [train(34949)], 2).
octal_div([train(2066)], [train(44609)], 0).
octal_div([train(43838)], [train(13811)], 1).
octal_div([train(353)], [train(10985)], 7).
octal_div([train(35870)], [train(30574)], 1).
octal_div([train(50220)], [train(53711)], 2).
octal_div([train(39377)], [train(28827)], 11).
octal_div([train(4954)], [train(33374)], 4).
octal_div([train(14437)], [train(4676)], 6).
octal_div([train(16045)], [train(47494)], 0).
octal_div([train(11212)], [train(34195)], 1).
octal_div([train(9527)], [train(28650)], 2).
octal_div([train(37521)], [train(23872)], 5).
octal_div([train(30910)], [train(5898)], 1).
octal_div([train(32836)], [train(12911)], 1).
octal_div([train(57793)], [train(22329)], 1).
octal_div([train(57989)], [train(10568)], 6).
octal_div([train(18570)], [train(17576)], 1).
octal_div([train(37027)], [train(47314)], 0).
octal_div([train(28207)], [train(53667)], 7).
octal_div([train(58765)], [train(26092)], 0).
octal_div([train(52048)], [train(9229)], 0).
octal_div([train(5803)], [train(45182)], 11).
octal_div([train(46162)], [train(52207)], 1).
octal_div([train(59600)], [train(8190)], 1).
octal_div([train(59271)], [train(20942)], 1).
octal_div([train(54419)], [train(9431)], 1).
octal_div([train(55620)], [train(29053)], 1).
octal_div([train(18185)], [train(7119)], 4).
octal_div([train(26881)], [train(34657)], 0).
octal_div([train(18806)], [train(28969)], 1).
octal_div([train(4049)], [train(5915)], 1).
octal_div([train(33901)], [train(51428)], 2).
octal_div([train(31710)], [train(22538)], 10).
octal_div([train(40863)], [train(11867)], 2).
octal_div([train(23338)], [train(33385)], 3).
octal_div([train(14693)], [train(29045)], 0).
octal_div([train(51738)], [train(27489)], 2).
octal_div([train(36377)], [train(30299)], 3).
octal_div([train(24856)], [train(55739)], 0).
octal_div([train(25232)], [train(17369)], 4).
octal_div([train(15206)], [train(50103)], 5).
octal_div([train(56951)], [train(50678)], 4).
octal_div([train(35171)], [train(20052)], 5).
octal_div([train(26949)], [train(18115)], 11).
octal_div([train(34277)], [train(9604)], 3).
octal_div([train(59678)], [train(45471)], 3).
octal_div([train(33355)], [train(15967)], 4).
octal_div([train(59158)], [train(30906)], 3).
octal_div([train(44668)], [train(14212)], 4).
octal_div([train(17805)], [train(21357)], 2).
octal_div([train(57451)], [train(40602)], 0).
octal_div([train(30706)], [train(17942)], 0).
octal_div([train(38729)], [train(30703)], 0).
octal_div([train(27049)], [train(6682)], 5).
octal_div([train(30491)], [train(58034)], 1).
octal_div([train(26786)], [train(29542)], 2).
octal_div([train(46914)], [train(17429)], 5).
octal_div([train(34961)], [train(23675)], 1).
octal_div([train(859)], [train(59670)], 0).
octal_div([train(22837)], [train(20425)], 2).
octal_div([train(14164)], [train(56221)], 11).
octal_div([train(27320)], [train(8672)], 2).
octal_div([train(48348)], [train(52278)], 5).
octal_div([train(45179)], [train(45637)], 1).
octal_div([train(52504)], [train(29972)], 2).
octal_div([train(55927)], [train(8160)], 4).
octal_div([train(13128)], [train(45740)], 1).
octal_div([train(26728)], [train(52603)], 0).
octal_div([train(46435)], [train(4674)], 3).
octal_div([train(28706)], [train(23181)], 4).
octal_div([train(51491)], [train(54802)], 0).
octal_div([train(5437)], [train(1174)], 7).
octal_div([train(50619)], [train(5494)], 6).
octal_div([train(4027)], [train(36813)], 0).
octal_div([train(23668)], [train(25557)], 1).
octal_div([train(40199)], [train(57646)], 0).
octal_div([train(2902)], [train(9317)], 2).
octal_div([train(29881)], [train(43578)], 6).
octal_div([train(38188)], [train(24790)], 2).
octal_div([train(39617)], [train(49307)], 1).
octal_div([train(54805)], [train(29219)], 1).
octal_div([train(7459)], [train(7984)], 1).
octal_div([train(14954)], [train(25696)], 7).
octal_div([train(50008)], [train(7122)], 1).
octal_div([train(1907)], [train(27681)], 0).
octal_div([train(37841)], [train(8391)], 0).
octal_div([train(25663)], [train(45099)], 1).
octal_div([train(11222)], [train(59884)], 0).
octal_div([train(49608)], [train(57952)], 3).
octal_div([train(53426)], [train(6070)], 4).
octal_div([train(23158)], [train(45220)], 5).
octal_div([train(1687)], [train(14560)], 7).
octal_div([train(55252)], [train(13113)], 6).
octal_div([train(13356)], [train(9637)], 3).
octal_div([train(40376)], [train(50065)], 1).
